Number,Class,Target,Radius_A,Radius_B,Za,Zb,TF,aO3,rc,A_ionic,B_ionic,R_a/R_b,Mass,A_aff,B_aff,A_Tm,B_Tm,A_Tb,B_Tb,A_Hfus,B_Hfus,A_Density,B_Density
100,1,-2.06,106.16,115.2,1.07,1.76,0.682058798,274.5617015,98.18295593,5.6005,6.163994,0.921527778,241.823,37.18,22.2,889.8,91.7903,3047.6,2092.6,52.64,106.89,5.448,5.493
101,1,-2.03,105.42,112.8,1.0775,1.735,0.686464186,268.8925195,96.22130186,5.5946,6.246341,0.934574468,242.1165,39.21,18.8,896.85,122.80195,3151.7,2036.9,50.63,120.335,5.6235,5.2845
102,1,-2.03,106.16,110.4,1.07,1.71,0.695133408,263.2408544,94.36628,5.6005,6.328688,0.961594203,237.282,37.18,15.4,889.8,153.8136,3047.6,1981.2,52.64,133.78,5.448,5.076
103,1,-1.93,106.16,110.225,1.07,1.7157,0.695619563,262.8281152,94.22898535,5.6005,6.3310356,0.963120889,237.6282,37.18,16.428,889.8,162.2636,3047.6,1999.57,52.64,133.016,5.448,5.1472
104,1,-1.71,106.16,109.525,1.07,1.7385,0.697571006,261.1771584,93.68113906,5.6005,6.340426,0.969276421,239.013,37.18,20.54,889.8,196.0636,3047.6,2073.05,52.64,129.96,5.448,5.432
105,1,-1.7,106.16,109.175,1.07,1.7499,0.698550839,260.3516799,93.40801891,5.6005,6.3451212,0.972383787,239.7054,37.18,22.596,889.8,212.9636,3047.6,2109.79,52.64,128.432,5.448,5.5744
106,1,-1.57,106.16,108.9125,1.07,1.75845,0.699287522,259.7325711,93.2035318,5.6005,6.3486426,0.974727419,240.2247,37.18,24.138,889.8,225.6386,3047.6,2137.345,52.64,127.286,5.448,5.6812
107,1,-1.52,106.16,109.92,1.07,1.728,0.696468491,262.1087697,93.99001838,5.6005,6.3284948,0.965793304,238.3134,37.18,19.915,889.8,177.9636,3047.6,2036.43,52.64,132.022,5.448,5.2908
108,1,-1.45,106.16,108.825,1.07,1.7613,0.699533428,259.5262015,93.13543684,5.6005,6.3498164,0.975511142,240.3978,37.18,24.652,889.8,229.8636,3047.6,2146.53,52.64,126.904,5.448,5.7168
109,1,-1.45,106.16,109.6,1.07,1.74,0.697361399,261.3540466,93.73973462,5.6005,6.328366,0.968613139,239.001,37.18,22.925,889.8,194.0636,3047.6,2073.25,52.64,130.85,5.448,5.434
110,1,-1.43,106.16,109.28,1.07,1.752,0.6982566,260.5993235,93.48989855,5.6005,6.3282372,0.971449488,239.6886,37.18,25.935,889.8,210.1636,3047.6,2110.07,52.64,129.678,5.448,5.5772
111,1,-1.31,106.16,108.8,1.07,1.77,0.699603719,259.4672388,93.11598734,5.6005,6.328044,0.975735294,240.72,37.18,30.45,889.8,234.3136,3047.6,2165.3,52.64,127.92,5.448,5.792
112,1,-1.24,106.16,107.775,1.07,1.7955,0.702497852,257.0497662,92.32094015,5.6005,6.363902,0.985015078,242.475,37.18,30.82,889.8,280.5636,3047.6,2256.75,52.64,122.32,5.448,6.144
113,1,-1.24,107.64,102.2,1.055,1.764,0.722988948,243.917706,88.24122757,5.6123,6.544614,1.053228963,233.921,33.12,19.54,875.7,393.4369,2839.4,2224,56.66,140.35,5.097,5.885
114,1,0.04,106.16,107.2,1.07,1.83,0.704131898,255.6936231,91.87698688,5.6005,6.3274,0.990298507,244.158,37.18,45.5,889.8,314.8136,3047.6,2349.4,52.64,122.06,5.448,6.508
